question,alternative_a,alternative_b,alternative_c,alternative_d,answer
Si 3x + 2 = 14 ¿cuál es el valor de x?,3,5,6,4,D
¿Cuál es el siguiente número en la secuencia: 2;4;8;16...?,24,20,64,32,D
Un tren recorre 240 km en 3 horas. ¿Cuál es su velocidad?,60 km/h,120 km/h,40 km/h,80 km/h,D
Si a + b = 10 y a - b = 4 ¿cuánto vale a?,5,6,7,8,C
¿Cuál es la probabilidad de obtener un número par al lanzar un dado?,1/3,1/6,2/3,1/2,D
¿Cuántos minutos hay en 2 horas y media?,1200,90,150,180,D
Si un artículo cuesta S/80 y tiene un descuento del 25% ¿cuánto se paga?,S/55,S/65,S/60,S/70,C
¿Cuál es el área de un rectángulo de 6 m de largo y 4 m de ancho?,20 m²,10 m²,24 m²,30 m²,C
Si 5 obreros construyen un muro en 12 días ¿cuántos días tardarán 3 obreros?,15,24,20,21,D
¿Cuál es el 20% de 350?,35,7,700,70,D
Si un auto recorre 42 km con 3 litros de gasolina ¿cuántos litros necesita para recorrer 98 km?,6,8,9,7,D
¿Cuál es el resultado de (3 + 2) × 4 - 6 ÷ 2?,14,16,20,17,D
Si a:b = 2:3 y b:c = 4:5 ¿cuál es la relación a:c?,2:5,3:5,4:15,8:15,D
¿Cuántos triángulos hay en la figura: △△△?,6,4,5,3,D
Si un tren sale a las 10:45 y llega a las 13:20 ¿cuánto dura el viaje?,2 horas y 25 minutos,3 horas y 15 minutos,2 horas y 45 minutos,2 horas y 35 minutos,D
¿Cuál es la media aritmética de 15;20;25;30;35?,20,30,22.5,25,D
Si tengo 3/4 de un pastel y como 1/3 de lo que tengo ¿qué fracción del pastel original me queda?,1/4,2/3,3/8,1/2,D
¿Cuál es el mínimo común múltiplo de 6;8;12?,12,48,36,24,D
Si un reloj se adelanta 2 minutos cada hora ¿cuánto se habrá adelantado en un día?,24 minutos,60 minutos,36 minutos,48 minutos,D
¿Cuál es el número que sigue en la secuencia: 1;4;9;16;25;...?,30,49,64,36,D
