question,alternative_a,alternative_b,alternative_c,alternative_d,answer
¿Cuál es el sinónimo de "efímero"?,Duradero,Intenso,Pasajero,Profundo,C
¿Cuál es el antónimo de "prolijo"?,Detallado,Extenso,Minucioso,Desordenado,D
Complete la analogía: Libro es a leer como película es a...,Escuchar,Ver,Tocar,Oler,B
¿Qué es una metáfora?,Repetición de sonidos,Exageración,Contradicción de términos,Figura retórica que identifica algo real con algo imaginario,D
¿Cuál es el significado de "ambiguo"?,Claro y preciso,Que puede entenderse de varios modos,Antiguo,Moderno,B
¿Qué es un texto argumentativo?,Texto que narra una historia,Texto que describe algo,Texto que defiende una idea,Texto que explica un proceso,C
¿Cuál es el plural de "régimen"?,Régimenes,Régimens,Régimenes,Regímenes,D
¿Qué es una oración subordinada?,Oración independiente,Oración que depende de otra,Oración sin verbo,Oración exclamativa,B
¿Cuál es el género literario de "Don Quijote de la Mancha"?,Lírico,Dramático,Didáctico,Narrativo,D
¿Qué figura literaria consiste en atribuir cualidades humanas a objetos inanimados?,Metáfora,Hipérbole,Personificación,Símil,C
¿Cuál es el significado de "inherente"?,Que se puede separar,Que es opcional,Que es temporal,Que por su naturaleza está inseparablemente unido a algo,D
¿Qué es un hiato?,Encuentro de dos consonantes,Encuentro de dos vocales que se pronuncian en sílabas distintas,Unión de dos palabras,Separación de una palabra,B
¿Cuál es la función de los signos de puntuación?,Decorar el texto,Alargar el texto,Organizar el texto y facilitar su comprensión,Complicar la lectura,C
¿Qué es un texto expositivo?,Texto que narra una historia,Texto que defiende una idea,Texto que describe algo,Texto que presenta información de manera objetiva,D
¿Cuál es el significado de "paradoja"?,Idea falsa,Idea que parece contradictoria pero puede ser cierta,Idea obvia,Idea compleja,B
¿Qué es una palabra aguda?,Palabra con acento en la penúltima sílaba,Palabra con acento en la antepenúltima sílaba,Palabra con acento en la última sílaba,Palabra sin acento,C
¿Cuál es el significado de "elocuente"?,Que habla poco,Que habla o se expresa con facilidad y eficacia,Que habla con dificultad,Que no sabe hablar,B
¿Qué es un texto narrativo?,Texto que describe algo,Texto que explica un proceso,Texto que cuenta una historia,Texto que defiende una idea,C
¿Cuál es el significado de "tácito"?,Que se expresa claramente,Que es obvio,Que no se expresa o no se dice pero se supone,Que es falso,C
¿Qué es un adjetivo?,Palabra que indica acción,Palabra que califica o determina al sustantivo,Palabra que sustituye al nombre,Palabra que modifica al verbo,B
